LabVIEW Measurement,,
Writer_Version,2,
Reader_Version,2,
Separator,Tab,
Decimal_Separator,.,
Multi_Headings,Yes,
X_Columns,No,
Time_Pref,Absolute,
Operator,Student,
Date,10/17/2019,
Time,02:10.0,
***End_of_Header***,,
,,
Channels,1,
Samples,100,
Date,10/17/2019,
Time,02:10.0,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.00E+00,
Delta_X,0.1,
***End_of_Header***,,
X_Value,Voltage,Comment
,0.178398,
,0.178236,
,0.177912,
,0.178236,
,0.178236,
,0.178074,
,0.178236,
,0.178398,
,0.178236,
,0.178398,
,0.178398,
,0.178074,
,0.178398,
,0.178236,
,0.17856,
,0.178074,
,0.178074,
,0.178398,
,0.178236,
,0.178236,
,0.178398,
,0.178722,
,0.177912,
,0.17856,
,0.177912,
,0.178236,
,0.178398,
,0.17856,
,0.178398,
,0.178398,
,0.178398,
,0.178074,
,0.178722,
,0.178236,
,0.178398,
,0.178236,
,0.178722,
,0.178236,
,0.17856,
,0.178236,
,0.178236,
,0.178074,
,0.178236,
,0.178398,
,0.178722,
,0.178398,
,0.178236,
,0.178236,
,0.178236,
,0.178236,
,0.17856,
,0.17856,
,0.178074,
,0.178236,
,0.178236,
,0.177912,
,0.17856,
,0.178236,
,0.178398,
,0.178236,
,0.178074,
,0.178236,
,0.17856,
,0.178236,
,0.178236,
,0.178074,
,0.17856,
,0.178236,
,0.178236,
,0.178074,
,0.178236,
,0.178236,
,0.17856,
,0.178236,
,0.178398,
,0.178236,
,0.178398,
,0.178398,
,0.178398,
,0.17856,
,0.178398,
,0.178236,
,0.178722,
,0.178236,
,0.178074,
,0.17856,
,0.178398,
,0.178236,
,0.178236,
,0.178398,
,0.178722,
,0.178236,
,0.178398,
,0.178398,
,0.178236,
,0.17856,
,0.17856,
,0.178398,
,0.178398,
,0.178398,
